subject,grade,year,stat,group,value,displayable
RED,4,2011,RP:RP,1-2 days,29.8871594168779,1
RED,4,2011,RP:RP,3-4 days,12.2170625947434,1
RED,4,2011,RP:RP,5-10 days,4.79976320048639,1
RED,4,2011,RP:RP,More than 10 days,2.47524256396066,1
RED,4,2013,RP:RP,None,50.5309707675786,1
RED,4,2013,RP:RP,1-2 days,29.949507149036,1
RED,4,2013,RP:RP,3-4 days,12.020533420347,1
RED,4,2013,RP:RP,5-10 days,5.13839381265578,1
RED,4,2013,RP:RP,More than 10 days,2.36059485038255,1
RED,4,2015,RP:RP,None,51.9799073103147,1
RED,4,2015,RP:RP,1-2 days,29.2679181750447,1
RED,4,2015,RP:RP,3-4 days,11.3711296869724,1
RED,4,2015,RP:RP,5-10 days,4.7926494206876,1
RED,4,2015,RP:RP,More than 10 days,2.5883954069806,1
RED,4,2017,MN:MN,None,228.377732683787,1
RED,4,2017,MN:MN,1-2 days,224.976737725553,1
RED,4,2017,MN:MN,3-4 days,218.600121779705,1
RED,4,2017,MN:MN,5-10 days,210.05412609961,1
RED,4,2017,MN:MN,More than 10 days,183.157470610486,1
RED,4,2019,MN:MN,None,227.780812264704,1
RED,4,2019,MN:MN,1-2 days,222.267031704278,1
RED,4,2019,MN:MN,3-4 days,215.354324261682,1
RED,4,2019,MN:MN,5-10 days,207.816387156096,1
RED,4,2019,MN:MN,More than 10 days,185.106625874155,1
RED,4,2022,MN:MN,None,227.069894856806,1
RED,4,2022,MN:MN,1-2 days,220.657462165926,1
RED,4,2022,MN:MN,3-4 days,213.378755151228,1
RED,4,2022,MN:MN,5-10 days,209.305657541348,1
RED,4,2022,MN:MN,More than 10 days,192.993472232487,1
RED,4,2024,MN:MN,None,223.411293485732,1
RED,4,2024,MN:MN,1-2 days,219.062198663468,1
RED,4,2024,MN:MN,3-4 days,211.969382307501,1
RED,4,2024,MN:MN,5-10 days,202.76159808428,1
RED,4,2024,MN:MN,More than 10 days,182.196766586077,1
RED,4,2017,RP:RP,None,44.5448092868693,1
RED,4,2017,RP:RP,1-2 days,32.3863914950207,1
RED,4,2017,RP:RP,3-4 days,13.3321032615101,1
RED,4,2017,RP:RP,5-10 days,5.75884331304041,1
RED,4,2017,RP:RP,More than 10 days,3.97785264355951,1
RED,4,2019,RP:RP,None,43.7463521860648,1
RED,4,2019,RP:RP,1-2 days,31.7541475646992,1
RED,4,2019,RP:RP,3-4 days,13.4897734429987,1
RED,4,2019,RP:RP,5-10 days,6.53546008806232,1
RED,4,2019,RP:RP,More than 10 days,4.47426671817491,1
RED,4,2022,RP:RP,None,38.0228842375563,1
RED,4,2022,RP:RP,1-2 days,27.1465522454422,1
RED,4,2022,RP:RP,3-4 days,13.8041708572993,1
RED,4,2022,RP:RP,5-10 days,11.3882104203529,1
RED,4,2022,RP:RP,More than 10 days,9.63818223934921,1
RED,4,2024,RP:RP,None,37.6180771922262,1
RED,4,2024,RP:RP,1-2 days,31.5251633461754,1
RED,4,2024,RP:RP,3-4 days,15.5665537639748,1
RED,4,2024,RP:RP,5-10 days,8.82204125752488,1
RED,4,2024,RP:RP,More than 10 days,6.46816444009875,1
RED,8,2002,MN:MN,None,268.248220994323,1
RED,8,2002,MN:MN,1-2 days,267.315742219709,1
RED,8,2002,MN:MN,3-4 days,259.342872888225,1
RED,8,2002,MN:MN,5-10 days,255.986951273613,1
RED,8,2002,MN:MN,More than 10 days,236.897795344921,1
RED,8,2003,MN:MN,None,267.327829808977,1
RED,8,2003,MN:MN,1-2 days,264.979567606833,1
RED,8,2003,MN:MN,3-4 days,257.943423237262,1
RED,8,2003,MN:MN,5-10 days,254.332076015065,1
RED,8,2003,MN:MN,More than 10 days,233.244992706908,1
RED,8,2005,MN:MN,None,265.988012117494,1
RED,8,2005,MN:MN,1-2 days,263.933960938535,1
RED,8,2005,MN:MN,3-4 days,255.674633656453,1
RED,8,2005,MN:MN,5-10 days,252.351892462846,1
RED,8,2005,MN:MN,More than 10 days,232.413324836182,1
