dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype_pct,MAT,4,2011,NT,PC:P5,SCHTYPE,Public,241.557998657227,0,1
schtype_pct,MAT,4,2011,NT,PC:P7,SCHTYPE,Public,260.284002685547,0,1
schtype_pct,MAT,4,2011,NT,PC:P9,SCHTYPE,Public,275.967999267578,0,1
schtype_pct,MAT,4,2011,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2011,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2011,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2011,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2011,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2011,NT,PC:P1,SCHTYPE,Catholic,211.435995483398,0,1
schtype_pct,MAT,4,2011,NT,PC:P2,SCHTYPE,Catholic,229.041998291016,0,1
schtype_pct,MAT,4,2011,NT,PC:P5,SCHTYPE,Catholic,246.343997192383,0,1
schtype_pct,MAT,4,2011,NT,PC:P7,SCHTYPE,Catholic,262.142004394531,0,1
schtype_pct,MAT,4,2011,NT,PC:P9,SCHTYPE,Catholic,275.477996826172,0,1
schtype_pct,MAT,4,2011,NT,PC:P1,SCHTYPE,Bureau of Indian Education,176.534002685547,0,1
schtype_pct,MAT,4,2011,NT,PC:P2,SCHTYPE,Bureau of Indian Education,194.326000976562,0,1
schtype_pct,MAT,4,2011,NT,PC:P5,SCHTYPE,Bureau of Indian Education,213.657998657226,0,1
schtype_pct,MAT,4,2011,NT,PC:P7,SCHTYPE,Bureau of Indian Education,232.551998901367,0,1
schtype_pct,MAT,4,2011,NT,PC:P9,SCHTYPE,Bureau of Indian Education,248.473999023437,0,1
schtype_pct,MAT,4,2011,NT,PC:P1,SCHTYPE,Department of Defense,208.717999267578,0,1
schtype_pct,MAT,4,2011,NT,PC:P2,SCHTYPE,Department of Defense,224.852001953125,0,1
schtype_pct,MAT,4,2011,NT,PC:P5,SCHTYPE,Department of Defense,242.016003417969,0,1
schtype_pct,MAT,4,2011,NT,PC:P7,SCHTYPE,Department of Defense,257.984002685547,0,1
schtype_pct,MAT,4,2011,NT,PC:P9,SCHTYPE,Department of Defense,271.54400024414,0,1
schtype_pct,MAT,4,2013,NT,PC:P1,SCHTYPE,Public,202.360001373291,0,1
schtype_pct,MAT,4,2013,NT,PC:P2,SCHTYPE,Public,221.987500762939,0,1
schtype_pct,MAT,4,2013,NT,PC:P5,SCHTYPE,Public,242.640999603272,0,1
schtype_pct,MAT,4,2013,NT,PC:P7,SCHTYPE,Public,261.769499206543,0,1
schtype_pct,MAT,4,2013,NT,PC:P9,SCHTYPE,Public,277.972500610352,0,1
schtype_pct,MAT,4,2013,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2013,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2013,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2013,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2013,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2013,NT,PC:P1,SCHTYPE,Catholic,210.131497955322,0,1
schtype_pct,MAT,4,2013,NT,PC:P2,SCHTYPE,Catholic,228.967999267578,0,1
schtype_pct,MAT,4,2013,NT,PC:P5,SCHTYPE,Catholic,247.722999572754,0,1
schtype_pct,MAT,4,2013,NT,PC:P7,SCHTYPE,Catholic,264.859997558594,0,1
schtype_pct,MAT,4,2013,NT,PC:P9,SCHTYPE,Catholic,279.191499328613,0,1
schtype_pct,MAT,4,2013,NT,PC:P1,SCHTYPE,Bureau of Indian Education,180.148500823975,0,1
schtype_pct,MAT,4,2013,NT,PC:P2,SCHTYPE,Bureau of Indian Education,194.977001190186,0,1
schtype_pct,MAT,4,2013,NT,PC:P5,SCHTYPE,Bureau of Indian Education,211.476499938965,0,1
schtype_pct,MAT,4,2013,NT,PC:P7,SCHTYPE,Bureau of Indian Education,230.503999328613,0,1
schtype_pct,MAT,4,2013,NT,PC:P9,SCHTYPE,Bureau of Indian Education,248.719500732422,0,1
schtype_pct,MAT,4,2013,NT,PC:P1,SCHTYPE,Department of Defense,213.077000427246,0,1
schtype_pct,MAT,4,2013,NT,PC:P2,SCHTYPE,Department of Defense,229.421500396729,0,1
schtype_pct,MAT,4,2013,NT,PC:P5,SCHTYPE,Department of Defense,246.021000671387,0,1
schtype_pct,MAT,4,2013,NT,PC:P7,SCHTYPE,Department of Defense,261.974499511719,0,1
