dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype,MAT,4,2017,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,PC:P1,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,4,2003,NT,MN:MN,SCHTYPE,Public,233.952802361629,0,1
schtype,MAT,4,2003,NT,MN:MN,SCHTYPE,Other private,244.677308618072,0,1
schtype,MAT,4,2003,NT,MN:MN,SCHTYPE,Catholic,243.691373065687,0,1
schtype,MAT,4,2003,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,257,0
schtype,MAT,4,2003,NT,MN:MN,SCHTYPE,Department of Defense,237.396340339001,0,1
schtype,MAT,4,2005,NT,MN:MN,SCHTYPE,Public,237.101845034792,0,1
schtype,MAT,4,2005,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2005,NT,MN:MN,SCHTYPE,Catholic,243.501102557923,0,1
schtype,MAT,4,2005,NT,MN:MN,SCHTYPE,Bureau of Indian Education,209.982752088392,0,1
schtype,MAT,4,2005,NT,MN:MN,SCHTYPE,Department of Defense,238.77619261413,0,1
schtype,MAT,4,2007,NT,MN:MN,SCHTYPE,Public,239.06429300559,0,1
schtype,MAT,4,2007,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2007,NT,MN:MN,SCHTYPE,Catholic,246.291975464371,0,1
schtype,MAT,4,2007,NT,MN:MN,SCHTYPE,Bureau of Indian Education,207.550695846159,0,1
schtype,MAT,4,2007,NT,MN:MN,SCHTYPE,Department of Defense,240.084553748664,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYPE,Public,239.093314491012,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2009,NT,MN:MN,SCHTYPE,Catholic,244.959165107683,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYPE,Bureau of Indian Education,206.747021869679,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYPE,Department of Defense,240.289072598969,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYPE,Public,240.111883013115,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2011,NT,MN:MN,SCHTYPE,Catholic,244.751993361294,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYPE,Bureau of Indian Education,213.223074329155,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYPE,Department of Defense,240.820965653671,0,1
schtype,MAT,4,2013,NT,MN:MN,SCHTYPE,Public,241.180191279369,0,1
