wave,state,county_fips,county_pop,n_blocks_total,n_blocks_covered,share_mobile_any,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,share_mobile_t6_vzw,share_anywless_t7
2010-06,AK,02070,4922,315,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02090,82840,2608,2572,0.998999,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02100,2392,161,6,0.001697,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02110,30711,611,584,0.993698,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02122,49691,2313,2002,0.954159,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02130,14070,371,328,0.995753,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02150,13913,418,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02164,1823,383,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02170,59322,2415,1878,0.946230,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02180,9196,763,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02185,7385,466,27,0.000677,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02188,7208,448,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02201,6146,547,80,0.227997,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02220,8835,255,235,0.995280,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02232,3436,417,19,0.002226,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02240,6174,672,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02261,10195,1083,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02270,7028,402,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02280,6684,312,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02282,808,119,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02290,6551,1415,144,0.107809,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04001,69423,15554,6764,0.392743,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04003,117755,7161,6895,0.991407,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04005,116320,13723,11039,0.966051,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04007,51335,2867,2428,0.926431,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04009,33489,2286,2064,0.992225,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04011,8547,793,628,0.986008,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04012,19715,2855,2643,0.983286,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04013,3072149,49579,47582,0.987649,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04015,155032,11693,1109,0.198049,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04017,97470,13144,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04019,843746,15477,12555,0.967728,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04021,179727,9776,5822,0.727766,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04023,38381,1356,785,0.833531,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04025,167517,7411,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AZ,04027,160026,4619,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05001,20749,2234,2231,0.996609,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05003,24209,1715,1696,0.993865,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05005,38386,2070,2048,0.989177,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05007,153406,5672,5669,0.999171,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05009,33948,1701,1673,0.978916,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05011,12600,925,814,0.816619,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05013,5744,1197,849,0.412563,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05015,25357,1459,1432,0.981180,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05017,14117,1152,1132,0.998959,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05019,23546,1643,1577,0.975251,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05021,17609,1751,1750,0.996405,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05023,24046,1612,1538,0.910013,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05025,8571,641,586,0.825005,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05027,25603,1463,1432,0.965443,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05029,20336,1176,1164,0.988333,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05031,82148,2875,2875,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05033,53247,2080,2001,0.982747,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05035,50866,2497,2478,0.995379,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05037,19526,1226,1216,0.964315,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05039,9210,1086,945,0.835908,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05041,15341,1392,1187,0.906503,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05043,18723,1367,1266,0.940776,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05045,86014,2470,2470,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05047,17771,1453,1284,0.953009,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05049,11642,1474,1465,0.984422,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05051,88068,4265,4179,0.992439,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05053,16464,1242,1231,0.976738,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05055,37331,1740,1738,0.999130,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05057,23587,1828,1635,0.878017,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05059,30353,1865,1842,0.989582,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05061,14300,1612,1509,0.955680,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05063,34233,1970,1952,0.971868,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05065,13249,1571,1540,0.976952,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05067,18418,1527,1527,0.995701,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05069,84278,3986,3986,0.998842,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05071,22781,1467,1359,0.959445,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05073,8559,1183,980,0.814046,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05075,17774,1703,1674,0.965897,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05077,12580,922,914,0.982467,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05079,14492,940,930,0.981591,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05081,13628,1217,1186,0.975504,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05083,22486,1608,1507,0.934336,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05085,52828,2304,2304,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05087,14243,886,691,0.696616,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05089,16140,1488,1341,0.921189,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05091,40443,1978,1976,0.997252,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05093,51979,2893,2889,0.999819,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05095,10254,1210,1210,0.999879,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05097,9245,1288,1157,0.902646,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05099,9955,1028,686,0.711459,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05101,8608,803,534,0.517473,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05103,28790,2077,1889,0.953809,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05105,10209,1096,961,0.943406,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05107,26445,1699,1688,0.985645,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05109,11303,1398,1131,0.720910,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05111,25614,1834,1834,0.995732,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05113,20229,2212,1859,0.926639,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05115,54469,2242,2176,0.975550,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05117,9539,1330,1330,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05119,361474,8069,8069,0.999988,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05121,18195,1218,1087,0.902193,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05123,29329,1865,1863,0.992805,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05125,83529,2758,2723,0.999492,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05127,10996,1300,1024,0.865148,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05129,8261,795,680,0.831890,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05131,115071,3817,3807,0.996541,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05133,15757,1572,1541,0.987207,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05135,17119,1760,1736,0.963358,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05137,11499,964,826,0.799418,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05139,45629,2887,2814,0.965250,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05141,16192,1433,1367,0.932589,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05143,157715,4329,4224,0.982351,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05145,67165,2835,2829,0.993134,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05147,8741,1137,1137,0.999749,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AR,05149,21139,1696,1409,0.949739,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06001,1443741,14931,14874,0.999481,0.000000,0.000000,0.000000,0.000000,0.746083
2010-06,CA,06003,1208,342,5,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06005,35100,1039,501,0.413609,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06007,203171,5515,5257,0.994009,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06009,40554,2202,355,0.024079,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06011,18804,1570,1460,0.983863,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06013,948816,10342,10340,0.999766,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06015,27507,1079,952,0.952404,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06017,156299,6027,5733,0.997844,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06019,799407,18604,18457,0.998911,0.000000,0.000000,0.000000,0.000000,0.020891
2010-06,CA,06021,26453,1900,1725,0.997219,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06023,126518,6279,5255,0.962212,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06025,142361,8133,8058,0.999688,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06027,17945,3381,2704,0.953082,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06029,661645,27200,26693,0.994693,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06031,129461,4008,4005,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06033,58309,3018,2682,0.960391,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06035,33828,4138,3090,0.879531,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06037,9519338,89614,89256,0.999214,0.882316,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06039,123109,3815,3788,0.995023,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06041,247289,3476,3419,0.989158,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06043,17130,1075,120,0.020513,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06045,86265,6595,3848,0.811802,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06047,210554,5968,5952,0.999974,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06049,9449,4048,3672,0.949289,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06051,12853,2295,1754,0.798525,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06053,401762,7898,7593,0.993223,0.000000,0.000000,0.000000,0.000000,0.100279
2010-06,CA,06055,124279,1882,1866,0.982279,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06057,92033,3372,3233,0.992827,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06059,2846289,25220,25013,0.997056,0.950484,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06061,248399,6801,6586,0.998741,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06063,20824,4031,3169,0.937305,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06065,1545387,28286,28159,0.999471,0.753478,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06067,1223499,14124,14124,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06069,53234,1536,1357,0.988560,0.000000,0.000000,0.000000,0.000000,0.093723
2010-06,CA,06071,1709434,41993,41224,0.997591,0.723040,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06073,2813833,27937,27529,0.997649,0.000001,0.000000,0.000000,0.000000,0.000000
