wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,05045,115958.0,1.0,0.8157,0.0,0.0,analyze_table,,,,,
2011-06,05047,18182.0,0.9683,0.0001,0.0001,0.0,analyze_table,,,,,
2011-06,05049,12233.0,0.9488,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05051,97233.0,0.9763,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05053,17978.0,0.9682,0.0084,0.0,0.0,analyze_table,,,,,
2011-06,05055,42585.0,0.9967,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05057,22626.0,0.9677,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05059,33260.0,0.9563,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05061,13747.0,0.9483,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05063,36812.0,0.9472,0.024,0.0,0.0,analyze_table,,,,,
2011-06,05065,13624.0,0.9278,0.0017,0.0,0.0,analyze_table,,,,,
2011-06,05067,17899.0,0.9789,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05069,76505.0,0.9995,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05071,25884.0,0.9642,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05073,7580.0,0.9681,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05075,17293.0,0.9809,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05077,10286.0,0.9709,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05079,14013.0,0.9828,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05081,13105.0,0.9693,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05083,22272.0,0.9266,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05085,70387.0,1.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05087,16072.0,0.7306,0.1817,0.1817,0.0,analyze_table,,,,,
2011-06,05089,16838.0,0.8646,0.035,0.0,0.0,analyze_table,,,,,
2011-06,05091,43693.0,0.989,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05093,46508.0,0.9994,0.0016,0.0,0.0,analyze_table,,,,,
2011-06,05095,7962.0,0.9998,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05097,9547.0,0.8036,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05099,8878.0,0.8259,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05101,8291.0,0.6538,0.0051,0.0,0.0,analyze_table,,,,,
2011-06,05103,25865.0,0.9722,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05105,10508.0,0.9174,0.4952,0.0,0.0,analyze_table,,,,,
