county_fips,county_pop,state,n_waves_observed,first_t6_25,never_t6_25_by_jun2014,first_t6_50,never_t6_50_by_jun2014,first_t6_75,never_t6_75_by_jun2014,first_t7_25,never_t7_25_by_jun2014,first_t7_50,never_t7_50_by_jun2014,first_t7_75,never_t7_75_by_jun2014
31173,6940,NE,9,2013-06,False,2013-06,False,2013-12,False,2013-06,False,2013-06,False,2013-12,False
31175,4260,NE,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
31177,20234,NE,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
31179,9595,NE,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
31181,3812,NE,9,2013-06,False,2013-06,False,2013-12,False,2013-06,False,2013-06,False,2013-12,False
31183,818,NE,9,2013-06,False,2013-12,False,2013-12,False,2013-06,False,2013-12,False,2013-12,False
31185,13665,NE,9,2013-06,False,2013-12,False,2013-12,False,2013-06,False,2013-12,False,2013-12,False
32001,24877,NV,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
32003,1951269,NV,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
32005,46997,NV,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
32007,48818,NV,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
32009,783,NV,9,,True,,True,,True,,True,,True,,True
32011,1987,NV,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
32013,16528,NV,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
32015,5775,NV,9,2012-06,False,2013-06,False,2013-12,False,2012-06,False,2013-06,False,2013-12,False
32017,5345,NV,9,,True,,True,,True,,True,,True,,True
32019,51980,NV,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
32021,4772,NV,9,2012-12,False,2012-12,False,2013-12,False,2012-12,False,2012-12,False,2013-12,False
32023,43946,NV,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
32027,6753,NV,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
32029,4010,NV,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
32031,421407,NV,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
32033,10030,NV,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
32510,55274,NV,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
33001,60088,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33003,47818,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33005,77117,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33007,33055,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33009,89118,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33011,400721,NH,9,2011-06,False,2011-06,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
33013,146445,NH,9,2012-06,False,2012-06,False,2013-12,False,2012-06,False,2012-06,False,2013-12,False
33015,295223,NH,9,2011-06,False,2011-06,False,2013-06,False,2011-12,False,2011-12,False,2013-06,False
33017,123143,NH,9,2011-12,False,2013-06,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
33019,43742,NH,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
34001,274549,NJ,9,2011-06,False,2011-06,False,2012-06,False,2012-06,False,2012-06,False,2012-12,False
34003,905116,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34005,448734,NJ,9,2010-06,False,2010-06,False,2010-12,False,2011-12,False,2011-12,False,2011-12,False
34007,513657,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
34009,97265,NJ,9,2012-06,False,2012-12,False,2012-12,False,2012-06,False,2012-12,False,2012-12,False
34011,156898,NJ,9,2011-06,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
34013,783969,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34015,288288,NJ,9,2010-06,False,2011-06,False,2011-06,False,2011-12,False,2011-12,False,2012-12,False
34017,634266,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34019,128349,NJ,9,2011-06,False,2012-12,False,2012-12,False,2011-12,False,2012-12,False,2012-12,False
34021,366513,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
34023,809858,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34025,630380,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34027,492276,NJ,9,2010-06,False,2010-06,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
34029,576567,NJ,9,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2012-06,False,2012-06,False
34031,501226,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34033,66083,NJ,9,2010-06,False,2011-06,False,2012-12,False,2011-12,False,2012-12,False,2013-06,False
34035,323444,NJ,9,2010-06,False,2010-06,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
34037,149265,NJ,9,2011-12,False,2013-06,False,2013-06,False,2011-12,False,2013-06,False,2013-06,False
34039,536499,NJ,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
34041,108692,NJ,9,2011-06,False,2011-06,False,2012-12,False,2011-06,False,2011-06,False,2012-12,False
35001,662564,NM,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
35003,3725,NM,9,2014-06,False,,True,,True,2014-06,False,,True,,True
35005,65645,NM,9,2012-06,False,2012-06,False,2012-06,False,2013-12,False,2013-12,False,2013-12,False
35006,27213,NM,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
35007,13750,NM,9,2013-06,False,2013-06,False,2014-06,False,2013-06,False,2013-06,False,,True
35009,48376,NM,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
35011,2022,NM,9,2013-06,False,2013-12,False,2013-12,False,2013-06,False,2013-12,False,,True
35013,209233,NM,9,2010-12,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
35015,53829,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35017,29514,NM,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
35019,4687,NM,9,2013-06,False,2013-06,False,2013-12,False,2013-06,False,2013-06,False,,True
35021,695,NM,9,2013-12,False,,True,,True,,True,,True,,True
35023,4894,NM,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
35025,64727,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35027,20497,NM,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
35028,17950,NM,9,2011-06,False,2011-06,False,2011-12,False,2011-06,False,2011-06,False,2011-12,False
35029,25095,NM,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
35031,71492,NM,9,2012-06,False,2012-12,False,2013-12,False,2012-06,False,2012-12,False,2013-12,False
35033,4881,NM,9,,True,,True,,True,,True,,True,,True
35035,63797,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35037,9041,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35039,40246,NM,9,2011-12,False,2012-12,False,2013-12,False,2012-06,False,2012-12,False,2013-12,False
35041,19846,NM,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
35043,131561,NM,9,2010-12,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
35045,130044,NM,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
35047,29393,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35049,144170,NM,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
35051,11988,NM,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
